A¥0,MES,T. Minima,T.Media,T.Maxima
2024,1,6,17,27
2023,1,3,17,28
2022,1,6,15,25
2021,1,4,16,26
2020,1,3,15,24
2019,1,3,15,25
2018,1,-1,13,25
2017,1,4,15,26
2016,1,3,14,24
2015,1,3,14,27
2014,1,1,12,24
2013,1,2,15,26
2012,1,4,14,24
2011,1,0,15,26
2010,1,4,14,27
2009,1,3,14,26
2008,1,1,14,25
2007,1,2,15,25
2006,1,0,13,24
2005,1,1,14,25
2004,1,1,13,24
2003,1,0,13,25
2002,1,3,15,26
2001,1,1,14,26
2000,1,0,13,25
1999,1,0,13,24
1998,1,0,13,25
1997,1,0,13,24
1996,1,0,13,25
1995,1,2,14,24
1994,1,1,14,27
1993,1,5,15,25
1992,1,4,15,27
1991,1,5,15,25
1990,1,2,14,25
2024,2,3,18,30
2023,2,11,20,31
2022,2,5,16,28
2021,2,2,17,29
2020,2,4,18,29
2019,2,7,18,30
2018,2,7,17,26
2017,2,6,17,27
2016,2,2,15,27
2015,2,3,15,28
2014,2,6,17,26
2013,2,4,18,29
2012,2,6,16,27
2011,2,3,17,29
2010,2,3,15,25
2009,2,1,16,28
2008,2,3,16,28
2007,2,4,16,28
2006,2,2,16,27
2005,2,5,16,26
2004,2,0,15,27
2003,2,3,16,28
2002,2,2,16,26
2001,2,2,15,26
2000,2,0,15,27
1999,2,0,15,26
1998,2,1,15,28
1997,2,3,16,27
1996,2,0,15,27
1995,2,4,15,28
1994,2,4,16,26
1993,2,6,16,27
1992,2,3,15,28
1991,2,5,16,28
1990,2,4,16,23
2024,3,8,21,32
2023,3,11,20,29
2022,3,6,19,31
2021,3,6,20,31
2020,3,7,20,31
2019,3,8,19,30
2018,3,8,19,29
2017,3,7,17,28
2016,3,5,17,30
2015,3,7,16,27
2014,3,4,19,30
2013,3,-2,17,28
2012,3,5,18,29
2011,3,3,18,30
2010,3,5,18,29
2009,3,3,18,29
2008,3,2,17,28
2007,3,3,17,30
2006,3,5,17,31
2005,3,6,18,29
2004,3,5,17,29
2003,3,4,18,31
2002,3,6,19,30
2001,3,3,17,29
2000,3,4,17,28
1999,3,4,17,28
1998,3,2,18,31
1997,3,7,17,29
1996,3,0,16,28
1995,3,2,17,30
1994,3,4,18,30
1993,3,6,17,28
1992,3,8,19,28
1991,3,5,20,32
1990,3,6,24,29
2024,4,8,22,33
2023,4,13,23,33
2022,4,10,20,31
2021,4,6,21,30
2020,4,12,21,30
2019,4,9,20,30
2018,4,9,19,28
2017,4,9,20,30
2016,4,8,20,30
2015,4,9,20,29
2014,4,10,20,31
2013,4,8,21,31
2012,4,5,19,30
2011,4,10,20,32
2010,4,8,19,29
2009,4,8,20,30
2008,4,9,19,30
2007,4,7,18,29
2006,4,7,19,29
2005,4,7,20,30
2004,4,6,18,29
2003,4,5,20,30
2002,4,7,19,32
2001,4,8,19,32
2000,4,6,19,32
1999,4,7,20,31
1998,4,7,21,32
1997,4,6,17,29
1996,4,6,18,28
1995,4,8,20,32
1994,4,7,18,29
1993,4,10,19,29
1992,4,9,18,27
1991,4,6,21,31
1990,4,7,21,29
2024,5,13,24,34
2023,5,13,19,28
2022,5,11,22,32
2021,5,12,20,29
2020,5,10,20,30
2019,5,11,22,30
2018,5,11,20,32
2017,5,11,21,31
2016,5,14,20,30
2015,5,12,18,27
2014,5,7,18,28
2013,5,10,19,30
2012,5,8,20,31
2011,5,7,22,33
2010,5,8,21,32
2009,5,9,20,31
2008,5,10,20,30
2007,5,10,19,28
2006,5,10,18,28
2005,5,9,20,29
2004,5,9,18,30
2003,5,10,21,32
2002,5,7,20,33
2001,5,8,18,29
2000,5,8,19,29
1999,5,7,20,32
1998,5,9,22,33
1997,5,6,17,28
1996,5,9,19,30
1995,5,9,21,32
1994,5,10,19,30
1993,5,10,19,29
1992,5,10,17,27
1991,5,10,20,31
1990,5,9,20,32
2024,6,13,21,32
2023,6,12,19,28
2022,6,12,19,29
2021,6,13,18,28
2020,6,10,20,29
2019,6,13,19,28
2018,6,12,19,29
2017,6,11,20,30
2016,6,12,18,25
2015,6,11,18,27
2014,6,12,18,28
2013,6,11,19,30
2012,6,12,19,29
2011,6,10,19,30
2010,6,12,20,30
2009,6,11,19,30
2008,6,10,18,28
2007,6,8,18,31
2006,6,9,18,28
2005,6,13,21,32
2004,6,10,18,27
2003,6,13,18,28
2002,6,9,19,30
2001,6,11,18,27
2000,6,11,17,27
1999,6,9,19,30
1998,6,11,21,32
1997,6,9,17,29
1996,6,9,18,27
1995,6,9,20,32
1994,6,10,17,28
1993,6,12,19,31
1992,6,9,20,29
1991,6,12,19,31
1990,6,12,19,30
2024,7,13,19,27
2023,7,12,19,28
2022,7,12,19,29
2021,7,12,18,26
2020,7,12,19,27
2019,7,13,18,26
2018,7,12,19,28
2017,7,12,17,25
2016,7,12,22,27
2015,7,12,18,27
2014,7,12,17,27
2013,7,11,18,27
2012,7,12,17,26
2011,7,12,17,26
2010,7,13,18,26
2009,7,12,19,27
2008,7,10,17,26
2007,7,10,18,26
2006,7,9,17,26
2005,7,11,19,28
2004,7,9,17,25
2003,7,9,17,26
2002,7,8,17,27
2001,7,11,17,26
2000,7,9,17,27
1999,7,8,17,26
1998,7,11,19,28
1997,7,9,19,30
1996,7,9,18,27
1995,7,9,18,29
1994,7,9,17,26
1993,7,12,18,27
1992,7,10,18,27
1991,7,11,18,28
1990,7,12,18,26
2024,8,12,19,31
2023,8,8,18,27
2022,8,12,18,26
2021,8,11,18,26
2020,8,11,19,27
2019,8,12,19,27
2018,8,12,18,25
2017,8,12,19,27
2016,8,12,18,25
2015,8,12,18,27
2014,8,12,18,27
2013,8,12,18,26
2012,8,11,18,26
2011,8,11,19,28
2010,8,11,18,26
2009,8,11,18,27
2008,8,11,18,26
2007,8,10,18,26
2006,8,10,17,25
2005,8,11,18,26
2004,8,12,18,27
2003,8,9,17,26
2002,8,9,17,26
2001,8,10,18,27
2000,8,8,17,24
1999,8,11,17,26
1998,8,11,18,26
1997,8,12,18,27
1996,8,9,16,26
1995,8,9,18,27
1994,8,11,16,24
1993,8,12,18,27
1992,8,12,17,30
1991,8,11,19,27
1990,8,11,18,26
2024,9,12,19,26
2023,9,5,17,28
2022,9,11,18,26
2021,9,11,18,26
2020,9,10,18,28
2019,9,11,18,26
2018,9,12,18,25
2017,9,9,18,27
2016,9,9,17,26
2015,9,12,18,26
2014,9,11,18,26
2013,9,12,17,26
2012,9,10,18,33
2011,9,4,18,27
2010,9,5,18,26
2009,9,13,18,25
2008,9,7,17,26
2007,9,7,17,26
2006,9,11,18,27
2005,9,8,18,26
2004,9,10,17,26
2003,9,11,18,26
2002,9,8,17,25
2001,9,8,17,26
2000,9,8,17,26
1999,9,4,17,27
1998,9,13,18,24
1997,9,9,18,27
1996,9,11,17,26
1995,9,9,18,27
1994,9,7,16,24
1993,9,12,18,26
1992,9,8,17,26
1991,9,10,17,27
1990,9,8,17,25
2024,10,11,16,21
2023,10,3,14,23
2022,10,7,17,40
2021,10,8,18,28
2020,10,5,17,27
2019,10,12,18,27
2018,10,10,18,26
2017,10,6,17,26
2016,10,9,17,26
2015,10,8,17,26
2014,10,7,17,27
2013,10,9,16,26
2012,10,5,17,27
2011,10,2,16,26
2010,10,4,16,27
2009,10,10,18,29
2008,10,4,16,26
2007,10,1,16,27
2006,10,4,17,27
2005,10,5,17,26
2004,10,10,17,27
2003,10,8,17,26
2002,10,9,17,25
2001,10,3,16,28
2000,10,5,16,26
1999,10,0,15,24
1998,10,7,16,25
1997,10,10,17,27
1996,10,4,16,27
1995,10,4,17,26
1994,10,7,17,26
1993,10,9,18,29
1992,10,0,16,25
1991,10,7,16,25
1990,10,8,17,27
2024,11,,,
2023,11,12,19,26
2022,11,9,18,26
2021,11,5,16,24
2020,11,4,16,26
2019,11,9,17,27
2018,11,4,16,26
2017,11,7,17,28
2016,11,5,15,25
2015,11,7,17,26
2014,11,3,16,26
2013,11,4,16,26
2012,11,5,15,25
2011,11,0,16,25
2010,11,-2,15,26
2009,11,6,15,25
2008,11,1,14,26
2007,11,3,15,24
2006,11,1,14,26
2005,11,3,15,25
2004,11,2,16,26
2003,11,2,16,26
2002,11,-2,14,24
2001,11,3,14,25
2000,11,6,16,27
1999,11,0,13,24
1998,11,4,16,26
1997,11,2,16,27
1996,11,0,14,26
1995,11,1,16,26
1994,11,6,16,27
1993,11,6,17,27
1992,11,0,15,25
1991,11,5,15,26
1990,11,2,16,27
2024,12,,,
2023,12,11,16,21
2022,12,7,15,22
2021,12,4,16,26
2020,12,3,16,25
2019,12,4,15,25
2018,12,1,15,25
2017,12,-1,14,25
2016,12,5,16,26
2015,12,7,16,27
2014,12,6,15,24
2013,12,5,15,25
2012,12,4,15,27
2011,12,3,15,26
2010,12,0,13,24
2009,12,3,15,26
2008,12,2,14,26
2007,12,0,15,25
2006,12,0,14,24
2005,12,2,14,25
2004,12,1,14,24
2003,12,0,12,24
2002,12,2,14,26
2001,12,3,14,25
2000,12,1,13,24
1999,12,0,12,24
1998,12,2,14,25
1997,12,3,16,26
1996,12,3,14,24
1995,12,4,15,26
1994,12,4,15,24
1993,12,2,14,26
1992,12,0,15,25
1991,12,3,15,26
1990,12,1,14,25
